,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
5811,5811,,,,,,,8372.0,,Associate's--Public Suburban-serving Single Campus,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Montgomery,,6001.0,COED,Associate,38.1804,-81.3235,,PrivacySuppressed,,PrivacySuppressed,Public,0.0014,0.0359,0.46000000834465,0.0029,,0.396,0.5714,0.2533,,0.9412,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Bridgemont Community and Technical College,www.bridgemont.edu,5190.0,WV,4010.0,8950.0,445674,697.0,25136,0.23999999463558,44064.53
5812,5812,,,,,,,,16524.0,,,,Virginia Beach,,,COED,Certificate,36.8579,-76.1746,21600,17300,17600,14500,Private for-profit,0.0286,0.8286,0.97000002861022,0.0,,0.0,,0.5938,,0.1143,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Wards Corner Beauty Academy-Virginia Beach,wardscornerbeautyacademy.edu,6717.0,VA,,,445683,35.0,23462,0.50999999046325,19621.82
5813,5813,25.0,23.0,25.0,,0.7997,,37379.0,,Special Focus Institutions--Other technology-related schools,,,Salt Lake City,0.5431,6991.0,COED,Bachelors,40.5566,-111.9113,33000,59400,27500,57100,Private for-profit,0.0429,0.0429,0.17000000178813,0.1024,,0.0,0.5,0.5391,,0.5905,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",,540.0,1104.0,540.0,,Neumont University,www.neumont.edu/,3298.0,UT,23100.0,23100.0,445692,420.0,84111-1917,0.43999999761581,58566.73
5814,5814,,,,,0.5961,,39499.0,,Baccalaureate/Associate's Colleges,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",Charlotte,0.618,7843.0,COED,Bachelors,35.2329,-80.8509,38500,30700,35100,29100,Private nonprofit,0.0103,0.3084,0.54000002145767,0.0546,,0.0168,1.0,0.5106,,0.4275,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Johnson & Wales University-Charlotte,www.jwu.edu/,5839.0,NC,27456.0,27456.0,445708,2325.0,28202,0.11999999731779,71585.99
5815,5815,,,,,,,24393.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, primarily nonresidential (1,000 to 2,999)","Full-time four-year, inclusive",Fresno,0.1865,2973.0,COED,Graduate,36.8587,-119.7899,60500,44300,53400,38200,Private for-profit,0.02,0.0865,0.6700000166893,0.3032,,0.0,0.1376,0.6304,,0.1819,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,University of Phoenix-Central Valley Campus,www.phoenix.edu,2173.0,CA,11309.0,11309.0,445717,2348.0,93720-1552,0.86000001430511,47023.93
5816,5816,,,,,,,23210.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,St. Louis,,5673.0,COED,Associate,38.6354,-90.3922,36300,22000,34200,20300,Private for-profit,0.0037,0.6134,0.63999998569488,0.0112,,0.0,0.8889,0.3282,,0.3271,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,L'Ecole Culinaire-St Louis,www.lecoleculinaire.com,2603.0,MO,14650.0,14650.0,445726,269.0,63124-1188,0.61000001430511,27928.06
5817,5817,,,,,,,,,Special Focus Institutions--Other health professions schools,,,Henderson,,9824.0,COED,Graduate,36.0727,-115.0668,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.3939,0.0265,,0.0644,,0.0,0.4955,0.2966,,0.4356,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Roseman University of Health Sciences,www.roseman.edu,15422.0,NV,,,445735,264.0,89014,,
5818,5818,,,,,,,24083.0,,,,,Port Saint Lucie,,4836.0,COED,Certificate,27.3038,-80.3073,PrivacySuppressed,24900,PrivacySuppressed,23900,Private for-profit,0.028,0.3879,0.87999999523162,0.1595,,0.0,0.48,0.7607,,0.375,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Fortis Institute-Port Saint Lucie,www.fortis.edu,3530.0,FL,22747.0,22747.0,445744,464.0,34952,0.62000000476837,24020.73
5819,5819,,,,,,,15140.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Miami,,5203.0,COED,Associate,25.7024,-80.341,25200,24300,23200,22200,Private for-profit,0.0077,0.1615,0.85000002384185,0.7846,,0.0,,0.6831,,0.0308,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Fortis Institute-Miami,www.fortis.edu,4030.0,FL,13173.0,13173.0,445753,130.0,33173-3431,0.64999997615814,26377.95
5820,5820,,,,,,,29543.0,,,,,Manassas,,5227.0,COED,Associate,38.7938,-77.515,,38200,,32900,Private for-profit,0.039,0.4416,0.07000000029802,0.1948,,0.0519,,0.3333,,0.1818,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Aviation Institute of Maintenance-Manassas,www.aviationmaintenance.edu,2530.0,VA,,,445762,77.0,20109,0.70999997854232,31037.86
5821,5821,,,,,,,,26936.0,,,,North Aurora,,,COED,Certificate,41.8001,-88.3261,28200,22600,27500,22000,Private for-profit,0.0182,0.1418,0.89999997615814,0.4109,,0.0,,0.6614,,0.3636,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,Everest College-North Aurora,www.everest.edu/campus/north_aurora,6195.0,IL,,,445771,275.0,60542,0.51999998092651,24837.99
5822,5822,,,,,,,,18186.0,,,,Burley,,,COED,Certificate,42.5469,-113.7928,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0,0.0,1,0.3438,,0.0,,0.7586,,0.6563,Certificate,"Rocky Mountains (CO, ID,MT, UT, WY)",,,,,,Cosmetology School of Arts and Sciences,cosmetologyschoolof-art.com,2269.0,ID,,,445780,32.0,83318,0.47999998927116,21641
5823,5823,,,,,,,,22861.0,,,,Exton,,,COED,Certificate,40.0705,-75.6851,44600,37400,40200,35000,Private for-profit,0.0226,0.1024,0.02999999932944,0.1308,,0.0,,0.3962,,0.6273,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Universal Technical Institute of Pennsylvania Inc,www.uti.edu/,2788.0,PA,,,445799,1728.0,19341,0.17000000178813,58711.78
5824,5824,,,,,,,,22603.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Kansas City,,3098.0,COED,Associate,38.9396,-94.5768,26500,22600,24200,20900,Private for-profit,0.0032,0.2516,0.79000002145767,0.0519,,0.0,0.4894,0.6429,,0.6705,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Heritage College-Kansas City,heritage-education.com,2695.0,MO,,,445814,616.0,64131,0.61000001430511,31315.03
5825,5825,,,,,,,,17922.0,,,,Spartanburg,,,COED,Certificate,34.9234,-81.9727,17600,16500,14600,13900,Private for-profit,0.0265,0.2035,0.97000002861022,0.0177,,0.2566,,0.5275,,0.7168,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Kenneth Shuler School of Cosmetology-Spartanburg,www.kennethshuler.com,4526.0,SC,,,445841,113.0,29301,0.50999999046325,23732.53
5826,5826,,,,,,,,16900.0,,,,Columbia,,,COED,Certificate,34.0333,-81.0877,17600,16500,14600,13900,Private for-profit,0.0,0.8235,0.97000002861022,0.0252,,0.3277,,0.5767,,0.1429,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Kenneth Shuler School of Cosmetology-Columbia,www.kennethshuler.com,3340.0,SC,,,445850,119.0,29209,0.50999999046325,23732.53
5827,5827,,,,,,,,,Special Focus Institutions--Other health professions schools,,,Arlington,,8162.0,COED,Graduate,38.8558,-77.0514,,,,,Private nonprofit,,,,,,,0.9231,,,,Graduate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Roman Catholic,,,,,Institute for the Psychological Sciences,www.ipsciences.edu,20290.0,VA,,,445869,,22202,,
5828,5828,,,,,,,,17196.0,,,,Chicago,,,COED,Certificate,41.9534,-87.7252,26500,22800,22000,19600,Private for-profit,0.0,0.5714,0.93999999761581,0.1905,,0.0,,0.5952,,0.2381,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,Pivot Point Academy-Chicago,www.pivotpoint.edu,7173.0,IL,,,445896,21.0,60618,0.40999999642372,49193.78
5829,5829,,,,,,,,22052.0,,,,Shelton,,,COED,Certificate,41.2741,-73.131,41300,36700,39400,34400,Private for-profit,0.0263,0.2218,0.51999998092651,0.2237,,0.3459,,0.6634,,0.3703,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Lincoln Technical Institute-Shelton,www.lincolnedu.com,5135.0,CT,,,445911,532.0,6484,0.62000000476837,50632.92
5830,5830,,,,,,,29130.0,,Baccalaureate/Associate's Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Waite Park,0.5217,3764.0,COED,Bachelors,45.5502,-94.2317,37700,29100,35700,27600,Private for-profit,0.0177,0.0354,0.69999998807907,0.0118,,0.2773,0.3636,0.6538,,0.8437,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Minnesota School of Business-Waite Park,www.msbcollege.edu/,5103.0,MN,14040.0,14040.0,445920,339.0,56387,0.50999999046325,45725.56
5831,5831,,,,,,,28296.0,,Baccalaureate/Associate's Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Shakopee,0.4561,3461.0,COED,Bachelors,44.7843,-93.5542,37700,29100,35700,27600,Private for-profit,0.0273,0.0182,0.69999998807907,0.0818,,0.3182,0.3529,0.4977,,0.8091,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Minnesota School of Business-Shakopee,www.msbcollege.edu/,5905.0,MN,14040.0,14040.0,445939,110.0,55379,0.50999999046325,45725.56
5832,5832,,,,,,,,16468.0,,,,Las Vegas,,6333.0,COED,Certificate,36.2039,-115.2556,,26200,,22500,Private for-profit,0.0193,0.0725,0.85000002384185,0.1932,,0.0242,,0.8134,,0.3478,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Northwest Career College,northwesthealthcareers.com,3554.0,NV,,,445948,207.0,89128,0.69999998807907,33682.26
5833,5833,,,,,,,,,,,,Chicago,,,COED,Certificate,41.8784,-87.6272,,26700,,23000,Private for-profit,0.0149,0.3209,0.76999998092651,0.1604,,1.0,,0.4669,,0.2612,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,Soma Institute-The National School of Clinical Massage Therapy,www.soma.edu,4004.0,IL,,,445957,268.0,60604-4110,0.63999998569488,39593.24
5834,5834,,,,,,,,11303.0,,,,Aguadilla,,,COED,Certificate,18.4258,-67.1552,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0,0.0,0,1.0,,0.0,,1.0,,0.0,Certificate,"Outlying Areas (AS, FM,GU, MH, MP, PR, PW, VI)",,,,,,Xtreme Career Institute,www.xtreme-career.com,2248.0,PR,,,445984,33.0,603,0.79000002145767,8506.23
5835,5835,,,,,,,,18215.0,,,,Niantic,,,COED,Certificate,41.3259,-72.1927,,18600,,16300,Private for-profit,0.0228,0.0717,0.93000000715255,0.1564,,0.2801,,0.3805,,0.7231,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Marinello Schools of Beauty-Niantic,www.marinello.com,4029.0,CT,,,445993,307.0,06357-3224,0.50999999046325,39476.13
5836,5836,,,,,,,,,Special Focus Institutions--Other health professions schools,,,Roseville,,4714.0,COED,Graduate,45.0158,-93.1814,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,,,PrivacySuppressed,,,,,,,,Graduate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,American Academy of Acupuncture and Oriental Medicine,www.aaaom.edu,10380.0,MN,,,446002,,55113,PrivacySuppressed,PrivacySuppressed
5837,5837,,,,,,,,,Special Focus Institutions--Other health professions schools,,,Tucson,,3556.0,COED,Graduate,32.2613,-110.8934,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,,,PrivacySuppressed,,,,,,,,Graduate,"Southwest (AZ, NM, OK, TX)",,,,,,Arizona School of Acupuncture and Oriental Medicine,www.asaom.edu,9456.0,AZ,,,446039,,85712,PrivacySuppressed,PrivacySuppressed
5838,5838,23.0,23.0,22.0,,0.5959,,34729.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, selective, higher transfer-in",Ave Maria,0.5912,7598.0,COED,Graduate,26.3371,-81.4411,,29500,,27800,Private nonprofit,0.0177,0.0564,0.58999997377395,0.146,,0.0155,0.9825,0.3209,,0.5332,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Roman Catholic,530.0,1070.0,540.0,530.0,Ave Maria University,www.avemaria.edu,9250.0,FL,23000.0,23000.0,446048,904.0,34142-9505,0.03999999910593,84796.05
5839,5839,,,,,,,,28444.0,,,,Grafton,,,COED,Certificate,43.2882,-87.9243,,21300,,19100,Private nonprofit,0.0,0.0,0.94999998807907,0.0,,0.0,,0.5637,,0.9744,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,Blue Sky School of Professional Massage and Therapeutic Bodywork,www.BlueSkyMassage.com,2672.0,WI,,,446057,39.0,53024,0.73000001907348,38973.02
5840,5840,,,,,,,,11132.0,,,,Shelbyville,,,COED,Certificate,35.4976,-86.4608,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0476,0.2857,1,0.1429,,0.0,,0.7143,,0.5238,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Buchanan Beauty College,buchananbeautycollege.shutterfly.com,6265.0,TN,,,446075,21.0,37160,0.47999998927116,18206.11
5841,5841,,,,,,,,,,,,Alton,,,COED,Certificate,38.9246,-90.1741,,19300,,18000,Private for-profit,0.0,0.4677,0.89999997615814,0.01,,0.9453,,0.6382,,0.5075,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,CALC Institute of Technology,calc.edu,4609.0,IL,,,446084,201.0,62002,0.87000000476837,21408.9
5842,5842,,,,,0.8906,,,24696.0,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Yuba City,,3014.0,COED,Associate,39.1399,-121.6522,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0539,0.0299,PrivacySuppressed,0.3952,,0.0,0.3333,0.6515,,0.4551,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Cambridge Junior College-Yuba City,www.cambridge.edu,3375.0,CA,,,446093,167.0,95993,PrivacySuppressed,PrivacySuppressed
5843,5843,,,,,,,,26705.0,,,,Altamonte Springs,,,COED,Certificate,28.6637,-81.376,,20300,,18800,Private for-profit,0.027,0.3027,0.93999999761581,0.2432,,0.0,,0.6262,,0.3405,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Cambridge Institute of Allied Health & Technology,www.cambridgehealth.edu/,3044.0,FL,,,446109,185.0,32701,0.76999998092651,18872.89
5844,5844,,,,,,,,21703.0,,,,Lancaster,,,COED,Certificate,34.6782,-118.1564,,29900,,27100,Private for-profit,0.0569,0.1691,0.87000000476837,0.4943,,0.0,,0.9684,,0.2407,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Career Care Institute,www.ccicolleges.edu,3681.0,CA,,,446118,615.0,93534,0.55000001192092,32309.65
5845,5845,,,,,,,22795.0,,,,,Spring Hill,,1603.0,COED,Associate,27.8843,-82.7292,,25700,,24800,Private for-profit,0.0044,0.1009,0.88999998569488,0.1579,,0.0,0.2143,0.8051,,0.5439,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,ATA Career Education,www.atafl.edu,3678.0,FL,9925.0,9925.0,446127,228.0,34606,0.89999997615814,30738.71
5846,5846,,,,,,,,,,,,Lansing,,3072.0,COED,Associate,42.6991,-84.5373,,21200,,19100,Private for-profit,0.0213,0.1825,0.80000001192092,0.0687,,0.0,,0.6199,,0.6896,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,Career Quest Learning Centers-Lansing,www.cqlc.edu,5048.0,MI,,,446136,422.0,48910,0.89999997615814,19359.93
5847,5847,,,,,,,,25080.0,,,,Oklahoma City,,,COED,Certificate,35.5698,-97.6686,,20800,,16800,Private for-profit,0.0,0.0833,0.73000001907348,0.0556,,0.2222,,0.7857,,0.8056,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Central State Massage Academy,www.csmaokc.com,9034.0,OK,,,446145,36.0,73162,0.66000002622604,28619.63
5848,5848,,,,,,,20576.0,,Associate's--Private Not-for-profit,Very small 2-year (less than 500),Medium full-time two-year,Redlands,,5210.0,COED,Associate,34.0545,-117.2005,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0167,0.1833,0.62000000476837,0.4667,,0.3,,0.7455,,0.2833,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Community Christian College,www.cccollege.edu,2778.0,CA,11148.0,11148.0,446163,60.0,92373,0.33000001311302,48151.9
5849,5849,,,,,,,,12985.0,,,,Crossett,,,COED,Certificate,33.1341,-91.9598,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0,0.1852,0.94999998807907,0.0741,,0.0,,0.871,,0.7037,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Crossett School of Cosmetology,crossettschoolofcosmetology.com,4723.0,AR,,,446190,27.0,71635,0.56999999284744,22444.54
5850,5850,,,,,,,,13483.0,,,,Culpeper,,,COED,Certificate,38.4715,-77.995,,PrivacySuppressed,,PrivacySuppressed,Public,0.0,0.303,1,0.1212,,0.2121,,0.9032,,0.5455,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Culpeper Cosmetology Training Center,www.culpeperbeauty.com,2555.0,VA,,,446206,33.0,22701-1055,0.58999997377395,15008.59
5851,5851,,,,,,,,13973.0,,,,Ocean Springs,,,COED,Certificate,30.41,-88.7623,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.2273,0.1818,0.89999997615814,0.0,,0.0,,0.4722,,0.5909,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Day Spa Career College,dayspacareercollege.net,1806.0,MS,,,446215,44.0,39564,0.62999999523162,19852.28
5852,5852,,,,,,,,,,,,Montclair,,,COED,Certificate,40.813,-74.2161,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.2656,0.0313,0.52999997138977,0.0938,,0.0156,,0.0959,,0.6094,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Eastern School of Acupuncture and Traditional Medicine,www.EasternSchool.com,5679.0,NJ,,,446224,64.0,07042-3551,0.98000001907348,49086.73
5853,5853,,,,,0.3074,,25657.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Springdale,0.2,1000.0,COED,Bachelors,36.2141,-94.2366,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0171,0.0743,0.36000001430511,0.0686,,0.1886,0.359,0.5,,0.6286,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Interdenominational,,,,,Ecclesia College,www.ecollege.edu/,5650.0,AR,15140.0,15140.0,446233,175.0,72762,0.38999998569488,35587.18
5854,5854,,,,,,,,18638.0,,,,Lexington,,,COED,Certificate,37.9823,-84.4837,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0,0.6591,PrivacySuppressed,0.0114,,0.0,,0.6748,,0.3182,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Employment Solutions-College for Technical Education,www.cte.edu,4925.0,KY,,,446242,176.0,40517,PrivacySuppressed,PrivacySuppressed
5855,5855,,,,,,,9663.0,,,,,Skokie,,,COED,Certificate,42.039,-87.7471,,21700,,18300,Private for-profit,0.1642,0.1045,0.73000001907348,0.1642,,0.0,,0.5068,,0.5373,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,European Massage Therapy School-Skokie,www.school-for-massage.com,1272.0,IL,8280.0,8280.0,446251,67.0,60077,0.87999999523162,25609.79
5856,5856,,,,,,,,16448.0,,,,Everett,,,COED,Certificate,47.9092,-122.222,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0469,0.0469,0.80000001192092,0.0703,,0.0,,0.4561,,0.7578,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Evergreen Beauty and Barber College-Everett,www.evergreenbeauty.edu,3397.0,WA,,,446260,128.0,98208,0.76999998092651,28592.73
5857,5857,,,,,,,,17192.0,,,,Port Huron,,,COED,Certificate,42.9764,-82.4592,,14300,,11700,Private for-profit,0.0,0.069,0.95999997854232,0.0115,,0.3103,,0.4559,,0.8851,Certificate,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,Paul Mitchell the School-Great Lakes,porthuron.paulmitchell.edu,3460.0,MI,,,446288,87.0,48060,0.38999998569488,43233.39
5858,5858,,,,,0.8,,,,,,,Union,,,COED,Certificate,40.6964,-74.2684,,28400,,25500,Private for-profit,0.0588,0.3088,0.91000002622604,0.3529,,0.5,,0.655,,0.25,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Healthcare Training Institute,www.htinj.edu,7124.0,NJ,,,446303,68.0,7083,0.69999998807907,32717.51
5859,5859,,,,,,,12348.0,,,,,New Cumberland,,,COED,Certificate,40.5327,-80.6207,,PrivacySuppressed,,PrivacySuppressed,Public,0.0,0.3333,0.93999999761581,0.0,,0.0,,0.75,,0.6667,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,John D Rockefeller IV Career Center,www.jdrcc.org,8671.0,WV,6231.0,6231.0,446349,3.0,26047,0.72000002861022,41621.5
5860,5860,,,,,,,34758.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Pasadena,,,COED,Associate,34.1393,-118.1501,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.027,0.0405,0.15000000596046,0.1554,,0.0405,,0.2101,,0.3176,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Los Angeles Music Academy,www.lama.edu,7363.0,CA,22575.0,22575.0,446385,148.0,91105,0.40000000596046,50683.38
5861,5861,,,,,,,19825.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Capitol Heights,0.0,531.0,COED,Graduate,38.8635,-76.9425,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0,0.9605,PrivacySuppressed,0.0395,,0.9474,,0.2027,,0.0,Bachelors,"Mid East (DE, DC, MD, NJ, NY, PA)",Baptist,,,,,Maple Springs Baptist Bible College and Seminary,www.msbbcs.edu,2518.0,MD,4590.0,4590.0,446394,76.0,20743,PrivacySuppressed,PrivacySuppressed
5862,5862,,,,,,,,23524.0,,,,West Palm Beach,,,COED,Certificate,26.7061,-80.0975,,15000,,14600,Private for-profit,0.0135,0.4662,0.95999997854232,0.4662,,0.0,,0.9314,,0.0473,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,MCI Institute of Technology,www.mciiot.com,5518.0,FL,,,446400,148.0,33409,0.55000001192092,10171.3
5863,5863,,,,,,,,16039.0,,,,Oxnard,,,COED,Certificate,34.1831,-119.1618,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.1247,0.1197,0.55000001192092,0.5885,,0.3317,,0.6188,,0.1596,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Pacific Coast Trade School,pctschool.com/,2094.0,CA,,,446437,401.0,93033,0.44999998807907,25200.5
5864,5864,,,,,,,28116.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Orlando,,4930.0,COED,Certificate,28.6151,-81.4231,,19500,,18700,Private for-profit,0.0444,0.6,0.85000002384185,0.2,,0.5556,,0.5648,,0.1333,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Centura Institute,www.centura.edu/Orlando/default.aspx,3489.0,FL,,,446446,45.0,32810,0.70999997854232,18931.45
5865,5865,,,,,,,,27515.0,,,,Meadville,,,COED,Certificate,41.6413,-80.1573,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0,0.0,0.07999999821186,0.0,,0.0,,0.3103,,1.0,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Precision Manufacturing Institute,www.goPMI.org,16313.0,PA,,,446455,38.0,16335,0.54000002145767,25690.71
